《1707-0000》,# カンマ区切りテキスト形式です。
《1707-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1707-0020》,# ・表の区画内での改行は“/”で表記します。
《1707-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1707-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1707-0050》,# 外部リンク
《1707-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546783/83 ～ 87
《1707-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1707g　(GitHub上データを表成型)
《1707-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1707h　(翻刻編集データを表成型 - 未実装)
《1707-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1707-0100》,《版元》,出版地○○,出版元□□□,　
《1707-0110》,《暦首》,宝永四年ひのとのい乃貞享暦,壁宿/値年,凡三百五十四日
《1707-0120》,《大歳》,大さいいの方,此方ニむかひて万よし/但木をきらす
《1707-0130》,《大將軍》,大しやうくんとりの方,うしのとしまて/三年ふさかり
《1707-0140》,《大陰》,大おんとりの方,此方ニむかひて/さんをせす
《1707-0150》,《歳徳》,としとくあきの方/いねの間万よし,とらう/,金神,/いぬい
《1707-0160》,《歳刑》,さいけういの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《1707-0170》,《歳破》,さいはみの方,むかひてわたましせす/ふねのりはしめす,正月小,二月大,三月小
《1707-0180》,《歳煞》,さいせついぬの方,此方より/よめとらす,四月小,五月大,六月小
《1707-0190》,《黄幡》,わうはんひつしの方,むかひて/弓はしめよし,七月小,八月大,九月小
《1707-0200》,《豹尾》,へうひうしの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月大,十二月大
《1707-0210》,《月序》,正月,小,建,壬寅,牛宿値月井宿木曜値朔日
《1707-0220》,《正月》,一日,きのとのう,みつ,水,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《1707-0230》,《正月》,二日,ひのえたつ,たいら,土,せつふん/ま日,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《1707-0240》,《三日》,三日,ひのとのみ,たいら,土,立春正月せついの二刻ニ入,ちう日 めつもん 地火
《1707-0250》,《暦日2》,四／,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
《1707-0260》,《暦日0》,五／,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまきよし
《1707-0270》,《暦日2》,六／,かのえさる,やふる,木,　,神よし 大みやう ふく日
《1707-0280》,《暦日0》,七／,かのとのとり,あやふ,,　,十し
《1707-0290》,《暦日2》,八／,みつのえいぬ,なる,水,ま日,●
《1707-0300》,《暦日0》,九／,みつのとのい,おさん,,八せんのおはり,大くわ ちう日 わうまう  けんふくよし
《1707-0310》,《暦日2》,十／,きのえね,ひらく,金,　,ふく日 天火 らうしやく
《1707-0320》,《暦日0》,十一／,きのとのうし,とつ,,　,神よし きこ ちいみ  くらたて 井ほり  つめとりよし
《1707-0330》,《暦日2》,十二／,ひのえとら,たつ,火,　, つめとりよし
《1707-0340》,《暦日0》,十三／,ひのとのう,のそく,,　,神よし  あさまきよし
《1707-0350》,《暦日2》,十四／,つちのえたつ,みつ,木,　,五む日  みそつくりよし
《1707-0360》,《暦日0》,十五／,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
《1707-0370》,《暦日2》,十六／,かのえむま,さたん,土,　,神よし ふく日
《1707-0380》,《暦日0》,十七／,かのとのひつし,とる,,　,大みやう  いちたちよし
《1707-0390》,《暦日2》,十八／,みつのえさる,やふる,金,　,神よし 大みやう
《1707-0400》,《暦日0》,十九／,みつのとのとり,あやふ,,正月中うしの八刻,十し
