《1711-0000》,# カンマ区切りテキスト形式です。
《1711-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1711-0020》,# ・表の区画内での改行は“/”で表記します。
《1711-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1711-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1711-0050》,# 外部リンク
《1711-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/3 ～ 10
《1711-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1711g　(GitHub上データを表成型)
《1711-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1711h　(翻刻編集データを表成型 - 未実装)
《1711-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1711-0100》,《版元》,出版地○○,出版元□□□,　
《1711-0110》,《暦首》,宝永八年かのとのう乃貞享暦,昴宿/値年,凡三百五十五日
《1711-0120》,《大歳》,大さいうの方,此方ニむかひて万よし/但木をきらす
《1711-0130》,《大將軍》,大しやうくんねの方,たつのとしまて/三年ふさかり
《1711-0140》,《大陰》,大おんうしの方,此方ニむかひて/さんをせす
《1711-0150》,《歳徳》,としとくあきの方/みむまの間万よし,ねうしとら/,金神,/うむまひつし
《1711-0160》,《歳刑》,さいけうねの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《1711-0170》,《歳破》,さいはとりの方,むかひてわたましせす/ふねのりはしめす,正月大,二月大,三月大
《1711-0180》,《歳煞》,さいせついぬの方,此方より/よめとらす,四月小,五月大,六月小
《1711-0190》,《黄幡》,わうはんひつしの方,むかひて/弓はしめよし,七月大,八月小,九月小
《1711-0200》,《豹尾》,へうひうしの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月小,十二月大
《1711-0210》,《月序》,正月,大,建,庚寅,角宿値月室宿火曜値朔日
《1711-0220》,《正月》,一日,かのえとら,たつ,木,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《1711-0230》,《正月》,二日,かのとのう,のそく,木,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《1711-0240》,《三日》,三日,みつのえたつ,みつ,水,　,さい下しき 大みやう日 五む日
《1711-0250》,《暦日1》,四／,みつのとのみ,たいら,水,天一天上,ちう日 めつもん 地火
《1711-0260》,《暦日2》,五／,きのえむま,さたん,金,正月中うしの四刻,神よし ふく日  かといて ふねのりよし
《1711-0270》,《暦日0》,六／,きのとのひつし,とる,,　,大みやう 五む日
《1711-0280》,《暦日2》,七／,ひのえさる,やふる,火,　,神よし
《1711-0290》,《暦日0》,八／,ひのとのとり,あやふ,,　,十し
《1711-0300》,《暦日2》,九／,つちのえいぬ,なる,木,　,●
《1711-0310》,《暦日0》,十／,つちのとのい,おさん,,　,神よし 大くわ ちう日
《1711-0320》,《暦日2》,十一／,かのえね,ひらく,土,　,神よし きしく ふく日 天火 らうしやく
《1711-0330》,《暦日0》,十二／,かのとのうし,とつ,,　,神よし 五む日 きこ ちいみ  ものたち  つめとりよし
《1711-0340》,《暦日2》,十三／,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
《1711-0350》,《暦日0》,十四／,みつのとのう,のそく,,　,神よし  あさまきよし
《1711-0360》,《暦日2》,十五／,きのえたつ,みつ,火,　,大みやう ふく日  かといてよし
《1711-0370》,《暦日0》,十六／,きのとのみ,たいら,,　,神よし 大みやう ちう日 めつもん 地火  けんふくよし
《1711-0380》,《暦日2》,十七／,ひのえむま,さたん,水,　,神よし 大みやう  わたましよし
《1711-0390》,《暦日0》,十八／,ひのとのひつし,とる,,　,神よし  かといてよし
《1711-0400》,《暦日2》,十九／,つちのえさる,やふる,土,　,神よし  たねまきよし
