《1713-0000》,# カンマ区切りテキスト形式です。
《1713-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1713-0020》,# ・表の区画内での改行は“/”で表記します。
《1713-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1713-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1713-0050》,# 外部リンク
《1713-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/16 ～ 21
《1713-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1713g　(GitHub上データを表成型)
《1713-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1713h　(翻刻編集データを表成型 - 未実装)
《1713-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1713-0100》,《版元》,出版地○○,出版元□□□,　
《1713-0110》,《暦首》,正徳三年みつのとのみ乃貞享暦,觜宿/値年,凡三百八十五日
《1713-0120》,《大歳》,大さいみの方,此方ニむかひて万よし/但木をきらす
《1713-0130》,《大將軍》,大しやうくんうの方,ひつしのとしまて/三年ふさかり
《1713-0140》,《大陰》,大おんうの方,此方ニむかひて/さんをせす
《1713-0150》,《歳徳》,　,としとくあきの方/みむまの間万よし,ねうし/,金神,/さるとり
《1713-0160》,《歳刑》,さいけうさるの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《1713-0170》,《歳破》,さいはいの方,むかひてわたましせす/ふねのりはしめす,正月大,二月小,三月大
《1713-0180》,《歳煞》,さいせつたつの方,此方より/よめとらす,四月小,五月大/閏五月小,六月大
《1713-0190》,《黄幡》,わうはんうしの方,むかひて/弓はしめよし,七月大,八月小,九月大
《1713-0200》,《豹尾》,へうひひつしの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月小,十二月大
《1713-0210》,《月序》,正月,大,建,甲寅,星宿値月井宿木曜値朔日
《1713-0220》,《正月》,一日,つちのとのう,みつ,土,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《1713-0230》,《正月》,二日,かのえたつ,たいら,金,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《1713-0240》,《三日》,三日,かのとのみ,さたむ,金,　,ちう日
《1713-0250》,《暦日2》,四／,みつのえむま,とる,木,　,神よし 大みやう
《1713-0260》,《暦日0》,五／,みつのとのひつし,やふる,,　, たねまきよし
《1713-0270》,《暦日2》,六／,きのえさる,あやふ,水,十方くれニ入,神よし 大みやう
《1713-0280》,《暦日0》,七／,きのとのとり,なる,,　,●
《1713-0290》,《暦日2》,八／,ひのえいぬ,おさん,土,　,五む日 めつもん
《1713-0300》,《暦日0》,九／,ひのとのい,ひらく,,　,大みやう ちう日 わうまう
《1713-0310》,《暦日2》,十／,つちのえね,とつ,火,せつふん,くゑ日 きこ ちいみ ふく日
《1713-0320》,《暦日0》,十一／,つちのとのうし,とつ,,立春正月せつたつの六刻ニ入,きこ ちいみ  井ほり  つめとりよし
《1713-0330》,《暦日2》,十二／,かのえとら,たつ,木,　,ふく日  つめとりよし
《1713-0340》,《暦日0》,十三／,かのとのう,のそく,,　,くゑ日
《1713-0350》,《暦日2》,十四／,みつのえたつ,みつ,水,　,大みやう 五む日
《1713-0360》,《暦日0》,十五／,みつのとのみ,たいら,,天一天上,ちう日 めつもん 地火
《1713-0370》,《暦日2》,十六／,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
《1713-0380》,《暦日0》,十七／,きのとのひつし,とる,,　,大みやう 五む日 わうまう
《1713-0390》,《暦日2》,十八／,ひのえさる,やふる,火,　,神よし
《1713-0400》,《暦日0》,十九／,ひのとのとり,あやふ,,　,十し
《1713-0410》,《暦日2》,廿／,つちのえいぬ,なる,木,　,●
