《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/18 ～ 22
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1749g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1749h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0110》,《暦首》,寛延二年つちのとのみ乃貞享暦,軫宿/値年,凡三百五十五日
《0120》,《大歳》,大さいみの方,此方ニむかひて万よし/但木をきらす
《0130》,《大將軍》,大しやうくんうの方,ひつしのとしまて/三年ふさかり
《0140》,《大陰》,大おんうの方,此方ニむかひて/さんをせす
《0150》,《歳徳》,　,としとくあきの方/とらうの間万よし,むまひつし/,金神,/さるとり
《0160》,《歳刑》,さいけうさるの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《0170》,《歳破》,さいはいの方,むかひてわたましせす/ふねのりはしめす,正月大,二月小,三月小
《0180》,《歳煞》,さいせつたつの方,此方より/よめとらす,四月大,五月小,六月大
《0190》,《黄幡》,わうはんうしの方,むかひて/弓はしめよし,七月大,八月小,九月大
《0200》,《豹尾》,へうひひつしの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月小,十二月大
《0210》,《月序》,正月,大,建,丙寅,牛宿値月心宿月曜値朔日
《0220》,《正月》,一日,かのえいぬ,なる,金,　,●
《0230》,《正月》,二日,かのとのい,おさむ,金,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《0240》,《正月》,三日,みつのえね,ひらく,木,八せんのはしめ,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《0250》,《暦日1》,四／,みつのとのうし,とつ,木,ま日,神よし きこ ちいみ  つめとりよし
《0260》,《節中》,雨水正月中翌うの六刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《0270》,《暦日2》,五／,きのえとら,たつ,水,　,くゑ日 ふく日
《0280》,《暦日0》,六／,きのとのう,のそく,,　,神よし  ものたちよし
《0290》,《暦日2》,七／,ひのえたつ,みつ,土,ま日,大みやう
《0300》,《暦日0》,八／,ひのとのみ,たいら,,　,ちう日 めつもん 地火
《0310》,《暦日2》,九／,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
《0320》,《暦日0》,十／,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまきよし
《0330》,《暦日2》,十一／,かのえさる,やふる,木,　,神よし 大みやう ふく日
《0340》,《暦日0》,十二／,かのとのとり,あやふ,,　,十し
《0350》,《暦日2》,十三／,みつのえいぬ,なる,水,ま日,●
《0360》,《暦日0》,十四／,みつのとのい,おさん,,八せんのおはり,大くわ ちう日  けんふくよし
《0370》,《暦日2》,十五／,きのえね,ひらく,金,　,ふく日 天火 らうしやく
《0380》,《暦日0》,十六／,きのとのうし,とつ,,　,神よし きこ ちいみ  くらたて 井ほり  つめとりよし
《0390》,《暦日2》,十七／,ひのえとら,たつ,火,　, つめとりよし
《0400》,《暦日0》,十八／,ひのとのう,のそく,,　,神よし  あさまきよし
