《1754-0000》,# カンマ区切りテキスト形式です。
《1754-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1754-0020》,# ・表の区画内での改行は“/”で表記します。
《1754-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1754-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1754-0050》,# 外部リンク
《1754-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/43 ～ 48
《1754-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1754g　(GitHub上データを表成型)
《1754-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1754h　(翻刻編集データを表成型 - 未実装)
《1754-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1754-0100》,《版元》,出版地○○,出版元□□□,　
《1754-0110》,《暦首》,宝暦四年きのえいぬ乃貞享暦,心宿/値年,凡三百八十四日
《1754-0120》,《大歳》,大さいいぬの方,此方ニむかひて万よし/但木をきらす
《1754-0130》,《大將軍》,大しやうくんむまの方,いぬのとしまて/三年ふさかり
《1754-0140》,《大陰》,大おんさるの方,此方ニむかひて/さんをせす
《1754-0150》,《歳徳》,としとくあきの方/とらうの間万よし,むまひつし/,金神,/さるとり
《1754-0160》,《歳刑》,さいけうひつしの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《1754-0170》,《歳破》,さいはたつの方,むかひてわたましせす/ふねのりはしめす,正月大,二月大/閏二月小,三月大
《1754-0180》,《歳煞》,さいせつうしの方,此方より/よめとらす,四月大,五月小,六月小
《1754-0190》,《黄幡》,わうはんいぬの方,むかひて/弓はしめよし,七月大,八月小,九月小
《1754-0200》,《豹尾》,へうひたつの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月小,十二月大
《1754-0210》,《月序》,正月,大,建,丙寅,室宿値月壁宿水曜値朔日
《1754-0220》,《正月》,一日,かのとのい,ひらく,金,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《1754-0230》,《正月》,二日,みつのえね,とつ,木,八せんのはしめ,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《1754-0240》,《三日》,三日,みつのとのうし,たつ,木,ま日,十し
《1754-0250》,《暦日2》,四／,きのえとら,のそく,水,　, 木こり  つめとりよし
《1754-0260》,《暦日0》,五／,きのとのう,みつ,,　,神よし  ものたちよし
《1754-0270》,《暦日2》,六／,ひのえたつ,たいら,土,ま日,大みやう 大くわ 地火
《1754-0280》,《暦日0》,七／,ひのとのみ,さたん,,　,ちう日
《1754-0290》,《暦日2》,八／,つちのえむま,とる,火,ま日,神よし ふく日  ふねのりよし
《1754-0300》,《暦日0》,九／,つちのとのひつし,やふる,,　,神よし 大みやう ふく日  かといてよし
《1754-0310》,《暦日2》,十／,かのえさる,あやふ,木,　,神よし きしく 大みやう  みそさけつくりよし
《1754-0320》,《暦日0》,十一／,かのとのとり,なる,,　,●
《1754-0330》,《暦日2》,十二／,みつのえいぬ,おさん,水,ま日,めつもん わうまう  たねまきよし
《1754-0340》,《暦日0》,十三／,みつのとのい,ひらく,,せつふん/八せんのおはり,くゑ日 ちう日
《1754-0350》,《暦日1》,十四／,きのえね,ひらく,金,　,ふく日 天火 らうしやく
《1754-0360》,《節中》,立春正月せつとらの七刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《1754-0370》,《暦日1》,十五／,きのとのうし,とつ,金,　,神よし きこ ちいみ  くらたて 井ほり  つめとりよし
《1754-0380》,《暦日2》,十六／,ひのえとら,たつ,火,　, つめとりよし
《1754-0390》,《暦日0》,十七／,ひのとのう,のそく,,　,神よし  あさまきよし
《1754-0400》,《暦日2》,十八／,つちのえたつ,みつ,木,　,五む日  みそつくりよし
《1754-0410》,《暦日0》,十九／,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
《1754-0420》,《暦日2》,廿／,かのえむま,さたん,土,　,ふく日 わうまう
《1754-0430》,《暦日0》,廿一／,かのとのひつし,とる,,　,大みやう  いちたちよし
《1754-0440》,《暦日2》,廿二／,みつのえさる,やふる,金,　,神よし 大みやう
《1754-0450》,《暦日0》,廿三／,みつのとのとり,あやふ,,　,十し
《1754-0460》,《暦日2》,廿四／,きのえいぬ,なる,火,　,●
《1754-0470》,《暦日0》,廿五／,きのとのい,おさん,,　,大くわ ちう日
《1754-0480》,《暦日2》,廿六／,ひのえね,ひらく,水,　,天火 らうしやく
《1754-0490》,《暦日0》,廿七／,ひのとのうし,とつ,,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
《1754-0500》,《暦日2》,廿八／,つちのえとら,たつ,土,　,天しや よろつよし
《1754-0510》,《暦日0》,廿九／,つちのとのう,のそく,,　,神よし 大みやう  みそさけつくり たねまきよし
《1754-0520》,《節中》,雨水正月中みの三刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《1754-0530》,《暦日1》,卅／,かのえたつ,みつ,金,　,ふく日
《1754-0540》,《月序》,二月,大,建,丁卯,壁宿　婁　金よう
《1754-0550》,《暦日1》,一／,かのとのみ,たいら,金,　,ちう日 めつもん 地火
《1754-0560》,《暦日2》,二／,みつのえむま,さたん,木,　,神よし 大みやう  木こりよし
《1754-0570》,《暦日0》,三／,みつのとのひつし,とる,,　, たねまきよし
《1754-0580》,《暦日2》,四／,きのえさる,やふる,水,十方くれニ入,神よし 大みやう ふく日
