《1757-0000》,# カンマ区切りテキスト形式です。
《1757-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1757-0020》,# ・表の区画内での改行は“/”で表記します。
《1757-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1757-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1757-0050》,# 外部リンク
《1757-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/58 ～ 63
《1757-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1757g　(GitHub上データを表成型)
《1757-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1757h　(翻刻編集データを表成型 - 未実装)
《1757-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1757-0100》,《版元》,出版地○○,出版元□□□,　
《1757-0110》,《暦首》,宝暦七年ひのとのうし乃宝暦甲戌元暦,斗宿/値年,凡三百五十五日
《1757-0120》,《大歳》,大さいうしの方,此方ニむかひて万よし/但木をきらす
《1757-0130》,《大將軍》,大しやうくんとりの方,うしのとしまて/三年ふさかり
《1757-0140》,《大陰》,大おんいの方,此方ニむかひて/さんをせす
《1757-0150》,《歳徳》,としとくあきの方/いねの間万よし,とらう/,金神,/いぬい
《1757-0160》,《歳刑》,さいけういぬの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《1757-0170》,《歳破》,さいはひつしの方,むかひてわたましせす/ふねのりはしめす,正月大,二月小,三月大
《1757-0180》,《歳煞》,さいせつたつの方,此方より/よめとらす,四月大,五月小,六月大
《1757-0190》,《黄幡》,わうはんうしの方,むかひて/弓はしめよし,七月小,八月大,九月大
《1757-0200》,《豹尾》,へうひひつしの方,むかひて大小へんせす/ちくるいもとめす,十月小,十一月大,十二月小
《1757-0210》,《月序》,正月,大,建,壬寅,參宿値月婁宿金曜値朔日
《1757-0220》,《正月》,一日,みつのとのみ,たいら,水,吉事始/天一天上,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《1757-0230》,《正月》,二日,きのえむま,さたむ,金,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《1757-0240》,《三日》,三日,きのとのひつし,とる,金,　,大みやう日 五む日
《1757-0250》,《節中》,雨水正月中今暁とらの一刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《1757-0260》,《暦日2》,四／,ひのえさる,やふる,火,　,神よし 月とく
《1757-0270》,《暦日0》,五／,ひのとのとり,あやふ,,　,十し
《1757-0280》,《暦日2》,六／,つちのえいぬ,なる,木,　,●
《1757-0290》,《暦日0》,七／,つちのとのい,おさん,,　,神よし 母倉 大くわ ちう日
《1757-0300》,《暦日2》,八／,かのえね,ひらく,土,　,神よし きしく 母倉 ふく日 天火 らうしやく
《1757-0310》,《暦日0》,九／,かのとのうし,とつ,,　,神よし 月とく 五む日 きこ ちいみ  ものたち  つめとりよし
《1757-0320》,《暦日2》,十／,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
《1757-0330》,《暦日0》,十一／,みつのとのう,のそく,,　,神よし  あさまきよし
《1757-0340》,《暦日2》,十二／,きのえたつ,みつ,火,　,大みやう ふく日  かといてよし
《1757-0350》,《暦日0》,十三／,きのとのみ,たいら,,　,神よし 大みやう ちう日 めつもん 地火  けんふくよし
《1757-0360》,《暦日2》,十四／,ひのえむま,さたん,水,　,神よし 大みやう 月とく  わたましよし
《1757-0370》,《暦日0》,十五／,ひのとのひつし,とる,,　,神よし  かといてよし
《1757-0380》,《暦日2》,十六／,つちのえさる,やふる,土,　,神よし  たねまきよし
《1757-0390》,《暦日0》,十七／,つちのとのとり,あやふ,,　,十し
《1757-0400》,《暦日1》,十八／,かのえいぬ,あやふ,金,　,大みやう 天おん  けんふくよし
《1757-0410》,《節中》,啓蟄二月せつたつの六刻ニ入日の出より日入まて,昼四十七刻余/夜五十二刻余,六より六まて,昼五十二刻余/夜四十七刻余
《1757-0420》,《暦日1》,十九／,かのとのい,なる,金,　,神よし 大みやう 天おん 母倉 ちう日 ふく日
《1757-0430》,《暦日2》,廿／,みつのえね,おさん,木,八せんのはしめ,神よし 天おん 母倉 めつもん  あさまきよし
《1757-0440》,《暦日0》,廿一／,みつのとのうし,ひらく,,ま日,天おん  つめとりよし
《1757-0450》,《暦日2》,廿二／,きのえとら,とつ,水,　,月とく きこ  やたて  つめとりよし
《1757-0460》,《暦日0》,廿三／,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
《1757-0470》,《暦日2》,廿四／,ひのえたつ,のそく,土,ま日,●
《1757-0480》,《暦日0》,廿五／,ひのとのみ,みつ,,　,十し
《1757-0490》,《暦日2》,廿六／,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
《1757-0500》,《暦日0》,廿七／,つちのとのひつし,さたん,,　,神よし 大みやう 月とく ちいみ  たねかしよし
《1757-0510》,《暦日2》,廿八／,かのえさる,とる,木,ひかんニなる,神よし 大みやう
《1757-0520》,《暦日0》,廿九／,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
《1757-0530》,《暦日1》,卅／,みつのえいぬ,あやふ,水,ま日, あさまきよし
《1757-0540》,《月序》,二月,小,建,癸卯,井宿　昴　日よう
《1757-0550》,《暦日1》,一／,みつのとのい,なる,水,八せんのおはり,母倉 ちう日 わうまう  たねかしよし
《1757-0560》,《暦日2》,二／,きのえね,おさん,金,　,天おん 母倉 月とく めつもん
《1757-0570》,《暦日0》,三／,きのとのうし,ひらく,,　,天おん ふく日  ものたち  つめとりよし
《1757-0580》,《節中》,春分二月中ひつしの三刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《1757-0590》,《暦日2》,四／,ひのえとら,とつ,火,　,天おん きこ  つめとりよし
《1757-0600》,《暦日0》,五／,ひのとのう,たつ,,　,天おん 天火 らうしやく
《1757-0610》,《暦日2》,六／,つちのえたつ,のそく,木,社日,●
《1757-0620》,《暦日0》,七／,つちのとのみ,みつ,,　,十し
《1757-0630》,《暦日2》,八／,かのえむま,たいら,土,　,神よし 大くわ 地火
《1757-0640》,《暦日0》,九／,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
《1757-0650》,《暦日2》,十／,みつのえさる,とる,金,　,神よし 大みやう  入学よし
《1757-0660》,《暦日0》,十一／,みつのとのとり,やふる,,　,大みやう  やたてよし
《1757-0670》,《暦日2》,十二／,きのえいぬ,あやふ,火,　,月とく  かといてよし
《1757-0680》,《暦日0》,十三／,きのとのい,なる,,　,母倉 ちう日 ふく日  みそすつくりよし
《1757-0690》,《暦日2》,十四／,ひのえね,おさん,水,　,母倉 めつもん  たねかしよし
《1757-0700》,《暦日0》,十五／,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
《1757-0710》,《暦日2》,十六／,つちのえとら,とつ,土,　,天しや よろつよし
《1757-0720》,《暦日0》,十七／,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
《1757-0730》,《暦日1》,十八／,かのえたつ,たつ,金,　,くゑ日
《1757-0740》,《節中》,清明三月せつとりの八刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《1757-0750》,《暦日1》,十九／,かのとのみ,のそく,金,　,天おん 母倉 ちう日
《1757-0760》,《暦日2》,廿／,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
《1757-0770》,《暦日0》,廿一／,みつのとのひつし,たいら,,　,天おん めつもん 地火
《1757-0780》,《暦日2》,廿二／,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
《1757-0790》,《暦日0》,廿三／,きのとのとり,とる,,　,神よし  くさかりよし
《1757-0800》,《暦日2》,廿四／,ひのえいぬ,やふる,土,　,五む日
《1757-0810》,《暦日0》,廿五／,ひのとのい,あやふ,,　,●
《1757-0820》,《暦日2》,廿六／,つちのえね,なる,火,　,母倉 きこ ふく日
《1757-0830》,《暦日0》,廿七／,つちのとのうし,おさん,,　,十し
《1757-0840》,《暦日2》,廿八／,かのえとら,ひらく,木,　,さい下しき ちいみ  いちたち  つめとりよし
《1757-0850》,《暦日0》,廿九／,かのとのう,とつ,,　,神よし  わたまし ものたちよし
《1757-0860》,《月序》,三月,大,建,甲辰,鬼宿　畢　月よう
《1757-0870》,《暦日2》,一／,みつのえたつ,たつ,水,とよう今夜ねの一刻ニ入,大みやう 月とく 五む日
《1757-0880》,《暦日0》,二／,みつのとのみ,のそく,,天一天上,母倉 ちう日  けんふくよし
《1757-0890》,《暦日2》,三／,きのえむま,みつ,金,　,神よし 母倉 天火 らうしやく  ふねのりよし
《1757-0900》,《暦日0》,四／,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
《1757-0910》,《暦日1》,五／,ひのえさる,さたん,火,　,きしく くゑ日
《1757-0920》,《節中》,穀雨三月中今暁ねの五刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1757-0930》,《暦日1》,六／,ひのとのとり,とる,火,　,神よし 月とく  いちたちよし
《1757-0940》,《暦日2》,七／,つちのえいぬ,やふる,木,　,ふく日
《1757-0950》,《暦日0》,八／,つちのとのい,あやふ,,　,●
《1757-0960》,《暦日2》,九／,かのえね,なる,土,　,きこ わうまう
《1757-0970》,《暦日0》,十／,かのとのうし,おさん,,　,十し
《1757-0980》,《暦日2》,十一／,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ  つめとりよし
《1757-0990》,《暦日0》,十二／,みつのとのう,とつ,,　,神よし  けんふく かといてよし
《1757-1000》,《暦日2》,十三／,きのえたつ,たつ,火,　,大みやう くゑ日
《1757-1010》,《暦日0》,十四／,きのとのみ,のそく,,　,神よし 大みやう 母倉 ちう日  ふねのりよし
《1757-1020》,《暦日2》,十五／,ひのえむま,みつ,水,八十八や,神よし 大みやう 母倉 天火 らうしやく
《1757-1030》,《暦日0》,十六／,ひのとのひつし,たいら,,　,神よし 月とく めつもん 地火
《1757-1040》,《暦日2》,十七／,つちのえさる,さたん,土,　,くゑ日 ふく日
《1757-1050》,《暦日0》,十八／,つちのとのとり,とる,,　,神よし 大みやう 天おん ふく日
《1757-1060》,《暦日2》,十九／,かのえいぬ,やふる,金,　,大みやう 天おん
《1757-1070》,《暦日0》,廿／,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
《1757-1080》,《節中》,立夏四月せつうの二刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1757-1090》,《暦日2》,廿一／,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
《1757-1100》,《暦日0》,廿二／,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
《1757-1110》,《暦日2》,廿三／,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
《1757-1120》,《暦日0》,廿四／,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
《1757-1130》,《暦日2》,廿五／,ひのえたつ,とつ,土,ま日,大みやう ふく日
《1757-1140》,《暦日0》,廿六／,ひのとのみ,たつ,,　,●
《1757-1150》,《暦日2》,廿七／,つちのえむま,のそく,火,ま日,くゑ日 わうまう
《1757-1160》,《暦日0》,廿八／,つちのとのひつし,みつ,,　,大みやう くゑ日
《1757-1170》,《暦日2》,廿九／,かのえさる,たいら,木,　,神よし 大みやう 月とく ちいみ 大くわ 地火
《1757-1180》,《暦日0》,卅／,かのとのとり,さたん,,　,十し
《1757-1190》,《月序》,四月,大,建,乙巳,柳宿　參　水よう
《1757-1200》,《暦日2》,一／,みつのえいぬ,とる,水,ま日,ふく日
《1757-1210》,《暦日0》,二／,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
《1757-1220》,《暦日2》,三／,きのえね,あやふ,金,　,きしく 天おん
《1757-1230》,《暦日0》,四／,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
《1757-1240》,《暦日1》,五／,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
《1757-1250》,《節中》,小満四月中みの七刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1757-1260》,《暦日1》,六／,ひのとのう,ひらく,火,　,神よし 天おん 母倉  わたましよし
《1757-1270》,《暦日2》,七／,つちのえたつ,とつ,木,　,五む日 くゑ日
《1757-1280》,《暦日0》,八／,つちのとのみ,たつ,,　,●
《1757-1290》,《暦日2》,九／,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
《1757-1300》,《暦日0》,十／,かのとのひつし,みつ,,　,大みやう くゑ日
《1757-1310》,《暦日2》,十一／,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
《1757-1320》,《暦日0》,十二／,みつのとのとり,さたん,,　,十し
《1757-1330》,《暦日2》,十三／,きのえいぬ,とる,火,　, やたて くらたてよし
《1757-1340》,《暦日0》,十四／,きのとのい,やふる,,　,月とく ちう日
《1757-1350》,《暦日2》,十五／,ひのえね,あやふ,水,　,ふく日  さひらきよし
《1757-1360》,《暦日0》,十六／,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
《1757-1370》,《暦日2》,十七／,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
《1757-1380》,《暦日0》,十八／,つちのとのう,ひらく,,　,神よし 大みやう 天おん 母倉  入学よし
《1757-1390》,《暦日2》,十九／,かのえたつ,とつ,金,　,天おん 月とく  けんふくよし
《1757-1400》,《暦日0》,廿／,かのとのみ,とつ,,　,十し
《1757-1410》,《節中》,芒種五月せつさるの四刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
