《1770-0000》,# カンマ区切りテキスト形式です。
《1770-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1770-0020》,# ・表の区画内での改行は“/”で表記します。
《1770-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1770-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1770-0050》,# 外部リンク
《1770-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/120 ～ 125
《1770-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1770g　(GitHub上データを表成型)
《1770-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1770h　(翻刻編集データを表成型 - 未実装)
《1770-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1770-0100》,《版元》,出版地○○,出版元□□□,　
《1770-0110》,《暦首》,明和七年かのえとら乃宝暦甲戌元暦,參宿/値年,凡三百八十四日
《1770-0120》,《大歳》,大さいとらの方,此方ニむかひて万よし/但木をきらす
《1770-0130》,《大將軍》,大しやうくんねの方,たつのとしまて/三年ふさかり
《1770-0140》,《大陰》,大おんねの方,此方ニむかひて/さんをせす
《1770-0150》,《歳徳》,　,としとくあきの方/さるとりの間万よし,たつ/,金神,/み
《1770-0160》,《歳刑》,さいけうみの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《1770-0170》,《歳破》,さいはさるの方,むかひてわたましせす/ふねのりはしめす,正月大,二月小,三月大
《1770-0180》,《歳煞》,さいせつうしの方,此方より/よめとらす,四月小,五月小,六月大/閏六月小
《1770-0190》,《黄幡》,わうはんいぬの方,むかひて/弓はしめよし,七月小,八月大,九月小
《1770-0200》,《豹尾》,へうひたつの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月大,十二月大
《1770-0210》,《月序》,正月,大,建,戊寅,牛宿値月女宿土曜値朔日
《1770-0220》,《正月》,一日,つちのとのう,みつ,土,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《1770-0230》,《正月》,二日,かのえたつ,たいら,金,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《1770-0240》,《三日》,三日,かのとのみ,さたむ,金,　,天おん 母倉 ちう日
《1770-0250》,《暦日2》,四／,みつのえむま,とる,木,　,神よし 大みやう 天おん 母倉
《1770-0260》,《暦日0》,五／,みつのとのひつし,やふる,,　,天おん  たねまきよし
《1770-0270》,《暦日2》,六／,きのえさる,あやふ,水,十方くれニ入,神よし 大みやう
《1770-0280》,《暦日0》,七／,きのとのとり,なる,,　,●
《1770-0290》,《暦日2》,八／,ひのえいぬ,おさん,土,　,五む日 めつもん わうまう
《1770-0300》,《暦日0》,九／,ひのとのい,ひらく,,せつふん,大みやう ちう日
《1770-0310》,《暦日1》,十／,つちのえね,ひらく,火,　,母倉 天火 らうしやく  けんふく 入学よし
《1770-0320》,《節中》,立春正月せつ今暁うしの一刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《1770-0330》,《暦日1》,十一／,つちのとのうし,とつ,火,　,きこ ちいみ  井ほり  つめとりよし
《1770-0340》,《暦日2》,十二／,かのえとら,たつ,木,　,ふく日  つめとりよし
《1770-0350》,《暦日0》,十三／,かのとのう,のそく,,　,くゑ日
《1770-0360》,《暦日2》,十四／,みつのえたつ,みつ,水,　,きしく 大みやう 五む日
《1770-0370》,《暦日0》,十五／,みつのとのみ,たいら,,天一天上,ちう日 めつもん 地火
《1770-0380》,《暦日2》,十六／,きのえむま,さたん,金,　,ふく日 わうまう  かといて ふねのりよし
《1770-0390》,《暦日0》,十七／,きのとのひつし,とる,,　,大みやう 五む日
《1770-0400》,《暦日2》,十八／,ひのえさる,やふる,火,　,神よし 月とく
《1770-0410》,《暦日0》,十九／,ひのとのとり,あやふ,,　,十し
《1770-0420》,《暦日2》,廿／,つちのえいぬ,なる,木,　,●
《1770-0430》,《暦日0》,廿一／,つちのとのい,おさん,,　,神よし 母倉 大くわ ちう日
《1770-0440》,《暦日2》,廿二／,かのえね,ひらく,土,　,神よし 母倉 ふく日 天火 らうしやく
《1770-0450》,《暦日0》,廿三／,かのとのうし,とつ,,　,神よし 月とく 五む日 きこ ちいみ  ものたち  つめとりよし
《1770-0460》,《暦日2》,廿四／,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
《1770-0470》,《暦日0》,廿五／,みつのとのう,のそく,,　,神よし  あさまきよし
《1770-0480》,《節中》,雨水正月中うの七刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《1770-0490》,《暦日2》,廿六／,きのえたつ,みつ,火,　,大みやう ふく日  かといてよし
《1770-0500》,《暦日0》,廿七／,きのとのみ,たいら,,　,神よし 大みやう ちう日 めつもん 地火  けんふくよし
《1770-0510》,《暦日2》,廿八／,ひのえむま,さたん,水,　,神よし 大みやう 月とく  わたましよし
《1770-0520》,《暦日0》,廿九／,ひのとのひつし,とる,,　,神よし  かといてよし
《1770-0530》,《暦日1》,卅／,つちのえさる,やふる,土,　,神よし  たねまきよし
《1770-0540》,《月序》,二月,小,建,己卯,女宿　危　月よう
《1770-0550》,《暦日1》,一／,つちのとのとり,あやふ,土,　,十し
《1770-0560》,《暦日2》,二／,かのえいぬ,なる,金,　,●
《1770-0570》,《暦日0》,三／,かのとのい,おさん,,　,神よし 大みやう 天おん 母倉 月とく 大くわ ちう日
《1770-0580》,《暦日2》,四／,みつのえね,ひらく,木,八せんのはしめ,神よし 天おん 母倉 天火 らうしやく
《1770-0590》,《暦日0》,五／,みつのとのうし,とつ,,ま日,神よし 天おん きこ ちいみ  つめとりよし
《1770-0600》,《暦日2》,六／,きのえとら,たつ,水,　,くゑ日 ふく日
《1770-0610》,《暦日0》,七／,きのとのう,のそく,,　,神よし  ものたちよし
《1770-0620》,《暦日2》,八／,ひのえたつ,みつ,土,ま日,大みやう 月とく
《1770-0630》,《暦日0》,九／,ひのとのみ,たいら,,　,ちう日 めつもん 地火
《1770-0640》,《暦日1》,十／,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
《1770-0650》,《節中》,啓蟄二月せつむまの三刻ニ入日の出より日入まて,昼四十七刻余/夜五十二刻余,六より六まて,昼五十二刻余/夜四十七刻余
《1770-0660》,《暦日1》,十一／,つちのとのひつし,さたん,火,　,神よし 大みやう 月とく ちいみ  たねかしよし
《1770-0670》,《暦日2》,十二／,かのえさる,とる,木,　,神よし きしく 大みやう
《1770-0680》,《暦日0》,十三／,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
《1770-0690》,《暦日2》,十四／,みつのえいぬ,あやふ,水,ま日, あさまきよし
《1770-0700》,《暦日0》,十五／,みつのとのい,なる,,八せんのおはり,母倉 ちう日  たねかしよし
《1770-0710》,《暦日2》,十六／,きのえね,おさん,金,　,天おん 母倉 月とく めつもん
《1770-0720》,《暦日0》,十七／,きのとのうし,ひらく,,　,天おん ふく日  ものたち  つめとりよし
《1770-0730》,《暦日2》,十八／,ひのえとら,とつ,火,　,天おん きこ  つめとりよし
《1770-0740》,《暦日0》,十九／,ひのとのう,たつ,,　,さい下しき 天おん 天火 らうしやく
《1770-0750》,《暦日2》,廿／,つちのえたつ,のそく,木,社日/ひかんニなる,●
《1770-0760》,《暦日0》,廿一／,つちのとのみ,みつ,,　,十し
《1770-0770》,《暦日2》,廿二／,かのえむま,たいら,土,　,神よし 大くわ 地火
《1770-0780》,《暦日0》,廿三／,かのとのひつし,さたん,,　,大みやう ちいみ ふく日 わうまう  くらたて 井ほりよし
《1770-0790》,《暦日2》,廿四／,みつのえさる,とる,金,　,神よし 大みやう  入学よし
《1770-0800》,《暦日0》,廿五／,みつのとのとり,やふる,,　,大みやう  やたてよし
《1770-0810》,《節中》,春分二月中とりの初刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《1770-0820》,《暦日2》,廿六／,きのえいぬ,あやふ,火,　,月とく  かといてよし
《1770-0830》,《暦日0》,廿七／,きのとのい,なる,,　,母倉 ちう日 ふく日  みそすつくりよし
《1770-0840》,《暦日2》,廿八／,ひのえね,おさん,水,　,母倉 めつもん  たねかしよし
《1770-0850》,《暦日0》,廿九／,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
《1770-0860》,《月序》,三月,大,建,庚辰,虛宿　室　火よう
《1770-0870》,《暦日2》,一／,つちのえとら,とつ,土,　,天しや よろつよし
《1770-0880》,《暦日0》,二／,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
《1770-0890》,《暦日2》,三／,かのえたつ,のそく,金,　,●
《1770-0900》,《暦日0》,四／,かのとのみ,みつ,,　,十し
《1770-0910》,《暦日2》,五／,みつのえむま,たいら,木,　,神よし 大みやう 天おん 大くわ 地火
《1770-0920》,《暦日0》,六／,みつのとのひつし,さたん,,　,天おん ちいみ
《1770-0930》,《暦日2》,七／,きのえさる,とる,水,十方くれニ入,神よし 大みやう 月とく  入学よし
《1770-0940》,《暦日0》,八／,きのとのとり,やふる,,　,ふく日
《1770-0950》,《暦日2》,九／,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
《1770-0960》,《暦日0》,十／,ひのとのい,なる,,　,大みやう 母倉 ちう日
《1770-0970》,《暦日1》,十一／,つちのえね,なる,火,　,きしく 母倉 きこ ふく日
《1770-0980》,《節中》,清明三月せついの五刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《1770-0990》,《暦日1》,十二／,つちのとのうし,おさん,火,　,十し
《1770-1000》,《暦日2》,十三／,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
《1770-1010》,《暦日0》,十四／,かのとのう,とつ,,　,神よし  わたまし ものたちよし
《1770-1020》,《暦日2》,十五／,みつのえたつ,たつ,水,　,大みやう 月とく 五む日
《1770-1030》,《暦日0》,十六／,みつのとのみ,のそく,,天一天上,母倉 ちう日  けんふくよし
《1770-1040》,《暦日2》,十七／,きのえむま,みつ,金,　,神よし 母倉 天火 らうしやく  ふねのりよし
《1770-1050》,《暦日0》,十八／,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
《1770-1060》,《暦日2》,十九／,ひのえさる,さたん,火,　,くゑ日
《1770-1070》,《暦日0》,廿／,ひのとのとり,とる,,　,神よし 月とく  いちたちよし
《1770-1080》,《暦日2》,廿一／,つちのえいぬ,やふる,木,　,ふく日
《1770-1090》,《暦日0》,廿二／,つちのとのい,あやふ,,　,●
《1770-1100》,《暦日2》,廿三／,かのえね,なる,土,　,神よし きこ
《1770-1110》,《暦日0》,廿四／,かのとのうし,おさん,,とよう今暁うしの六刻ニ入,十し
《1770-1120》,《暦日2》,廿五／,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ  つめとりよし
《1770-1130》,《暦日0》,廿六／,みつのとのう,とつ,,　,神よし  けんふく かといてよし
《1770-1140》,《暦日1》,廿七／,きのえたつ,たつ,火,　,大みやう くゑ日
《1770-1150》,《節中》,穀雨三月中今暁とらの二刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1770-1160》,《暦日1》,廿八／,きのとのみ,のそく,火,　,神よし 大みやう 母倉 ちう日  ふねのりよし
《1770-1170》,《暦日2》,廿九／,ひのえむま,みつ,水,　,神よし 大みやう 母倉 天火 らうしやく
《1770-1180》,《暦日0》,卅／,ひのとのひつし,たいら,,　,神よし 月とく めつもん 地火
《1770-1190》,《月序》,四月,小,建,辛巳,危宿　奎　木よう
《1770-1200》,《暦日2》,一／,つちのえさる,さたん,土,　,くゑ日 ふく日 わうまう
《1770-1210》,《暦日0》,二／,つちのとのとり,とる,,　,神よし 大みやう 天おん ふく日
《1770-1220》,《暦日2》,三／,かのえいぬ,やふる,金,　,大みやう 天おん
《1770-1230》,《暦日0》,四／,かのとのい,あやふ,,　,●
《1770-1240》,《暦日2》,五／,みつのえね,なる,木,八せんのはしめ,神よし 天おん 母倉 月とく きこ
《1770-1250》,《暦日0》,六／,みつのとのうし,おさん,,ま日,十し
《1770-1260》,《暦日2》,七／,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
《1770-1270》,《暦日0》,八／,きのとのう,とつ,,八十八や,神よし  ものたちよし
《1770-1280》,《暦日2》,九／,ひのえたつ,たつ,土,ま日,きしく 大みやう  わたましよし
《1770-1290》,《暦日0》,十／,ひのとのみ,のそく,,　,母倉 月とく ちう日  いちたちよし
《1770-1300》,《暦日2》,十一／,つちのえむま,みつ,火,ま日,神よし 母倉 ふく日 天火 らうしやく  ふねのりよし
《1770-1310》,《暦日0》,十二／,つちのとのひつし,みつ,,　,大みやう くゑ日
《1770-1320》,《節中》,立夏四月せつたつの七刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
