《1776-0000》,# カンマ区切りテキスト形式です。
《1776-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1776-0020》,# ・表の区画内での改行は“/”で表記します。
《1776-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1776-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1776-0050》,# 外部リンク
《1776-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/150 ～ 155
《1776-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1776g　(GitHub上データを表成型)
《1776-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1776h　(翻刻編集データを表成型 - 未実装)
《1776-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1776-0100》,《版元》,出版地○○,出版元□□□,　
《1776-0110》,《暦首》,安永五年ひのえさる乃宝暦甲戌元暦,翼宿/値年,凡三百五十五日
《1776-0120》,《大歳》,大さいさるの方,此方ニむかひて万よし/但木をきらす
《1776-0130》,《大將軍》,大しやうくんむまの方,いぬのとしまて/三年ふさかり
《1776-0140》,《大陰》,大おんむまの方,此方ニむかひて/さんをせす
《1776-0150》,《歳徳》,　,としとくあきの方/みむまの間万よし,ねうしとら/,金神,/うむまひつし
《1776-0160》,《歳刑》,さいけうとらの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《1776-0170》,《歳破》,さいはとらの方,むかひてわたましせす/ふねのりはしめす,正月大,二月小,三月大
《1776-0180》,《歳煞》,さいせつひつしの方,此方より/よめとらす,四月小,五月大,六月小
《1776-0190》,《黄幡》,わうはんたつの方,むかひて/弓はしめよし,七月大,八月小,九月大
《1776-0200》,《豹尾》,へうひいぬの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月大,十二月小
《1776-0210》,《月序》,正月,大,建,庚寅,星宿値月危宿月曜値朔日
《1776-0220》,《正月》,一日,みつのとのとり,あやふ,金,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《1776-0230》,《正月》,二日,きのえいぬ,なる,火,　,●
《1776-0240》,《節中》,雨水正月中いぬの八刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《1776-0250》,《正月》,三日,きのとのい,おさむ,火,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《1776-0260》,《暦日2》,四／,ひのえね,ひらく,水,　,母倉 月とく 天火 らうしやく
《1776-0270》,《暦日0》,五／,ひのとのうし,とつ,,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
《1776-0280》,《暦日2》,六／,つちのえとら,たつ,土,　,天しや よろつよし
《1776-0290》,《暦日0》,七／,つちのとのう,のそく,,　,神よし 大みやう 天おん  みそさけつくり たねまきよし
《1776-0300》,《暦日2》,八／,かのえたつ,みつ,金,　,天おん ふく日
《1776-0310》,《暦日0》,九／,かのとのみ,たいら,,　,天おん 母倉 月とく ちう日 めつもん 地火
《1776-0320》,《暦日2》,十／,みつのえむま,さたん,木,　,神よし 大みやう 天おん  木こりよし
《1776-0330》,《暦日0》,十一／,みつのとのひつし,とる,,　,天おん  たねまきよし
《1776-0340》,《暦日2》,十二／,きのえさる,やふる,水,十方くれニ入,神よし きしく 大みやう ふく日
《1776-0350》,《暦日0》,十三／,きのとのとり,あやふ,,　,十し
《1776-0360》,《暦日2》,十四／,ひのえいぬ,なる,土,　,●
《1776-0370》,《暦日0》,十五／,ひのとのい,おさん,,　,大みやう 母倉 大くわ ちう日
《1776-0380》,《暦日2》,十六／,つちのえね,ひらく,火,　,母倉 天火 らうしやく  けんふく 入学よし
《1776-0390》,《暦日0》,十七／,つちのとのうし,とつ,,　,きこ ちいみ  井ほり  つめとりよし
