《1798-0000》,# カンマ区切りテキスト形式です。
《1798-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1798-0020》,# ・表の区画内での改行は“/”で表記します。
《1798-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1798-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1798-0050》,# 外部リンク
《1798-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/252 ～ 256
《1798-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1798g　(GitHub上データを表成型)
《1798-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1798h　(翻刻編集データを表成型 - 未実装)
《1798-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1798-0100》,《版元》,出版地○○,出版元□□□,　
《1798-0110》,《前書》,順天審象定作新暦/依例頒行四方遵用
《1798-0120》,《暦首》,寛政十年つちのえむま乃寛政暦,參宿/値年,凡三百五十四日
《1798-0130》,《大歳》,大さいむまの方,此方ニむかひて万よし/但木をきらす
《1798-0140》,《大將軍》,大しやうくんうの方,ひつしのとしまて/三年ふさかり
《1798-0150》,《大陰》,大おんたつの方,此方ニむかひて/さんをせす
《1798-0160》,《歳徳》,としとくあきの方/みむまの間万よし,ねうし/,金神,/さるとり
《1798-0170》,《歳刑》,さいけうむまの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《1798-0180》,《歳破》,さいはねの方,むかひてわたましせす/ふねのりはしめす,正月小,二月大,三月大
《1798-0190》,《歳煞》,さいせつうしの方,此方より/よめとらす,四月小,五月大,六月小
《1798-0200》,《黄幡》,わうはんいぬの方,むかひて/弓はしめよし,七月小,八月大,九月小
《1798-0210》,《豹尾》,へうひたつの方,むかひて大小へんせす/ちくるいもとめす,十月小,十一月大,十二月大
《1798-0220》,《月序》,正月,小,建,甲寅,牛宿値月牛宿金曜値朔日
《1798-0230》,《正月》,一日,ひのえとら,たつ,火,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《1798-0240》,《正月》,二日,ひのとのう,のそく,火,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《1798-0250》,《三日》,三日,つちのえたつ,みつ,木,　,天おん 五む日
《1798-0260》,《暦日1》,四／,つちのとのみ,たいら,木,　,神よし ちう日 めつもん 地火  入学よし
《1798-0270》,《暦日1》,五／,かのえむま,さたん,土,　,神よし ふく日
《1798-0280》,《節中》,雨水正月中うの一刻日の出より日入まて,昼四十五刻半余/夜五十四刻余,六より六まて,昼五十刻半余/夜四十九刻余
《1798-0290》,《暦日1》,六／,かのとのひつし,とる,土,　,大みやう 月とく  いちたちよし
《1798-0300》,《暦日2》,七／,みつのえさる,やふる,金,　,神よし 大みやう
《1798-0310》,《暦日0》,八／,みつのとのとり,あやふ,,　,十し
《1798-0320》,《暦日2》,九／,きのえいぬ,なる,火,　,●
《1798-0330》,《暦日0》,十／,きのとのい,おさん,,　,母倉 大くわ ちう日
《1798-0340》,《暦日2》,十一／,ひのえね,ひらく,水,　,母倉 月とく 天火 らうしやく
《1798-0350》,《暦日0》,十二／,ひのとのうし,とつ,,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
《1798-0360》,《暦日2》,十三／,つちのえとら,たつ,土,　,天しや よろつよし
《1798-0370》,《暦日0》,十四／,つちのとのう,のそく,,　,神よし 大みやう 天おん  みそさけつくり たねまきよし
《1798-0380》,《暦日2》,十五／,かのえたつ,みつ,金,　,きしく 天おん ふく日
《1798-0390》,《暦日0》,十六／,かのとのみ,たいら,,　,天おん 母倉 月とく ちう日 めつもん 地火
《1798-0400》,《暦日2》,十七／,みつのえむま,さたん,木,　,神よし 大みやう 天おん  木こりよし
《1798-0410》,《暦日0》,十八／,みつのとのひつし,とる,,　,天おん  たねまきよし
