《1806-0000》,# カンマ区切りテキスト形式です。
《1806-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1806-0020》,# ・表の区画内での改行は“/”で表記します。
《1806-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1806-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1806-0050》,# 外部リンク
《1806-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/7 ～ 10
《1806-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1806g　(GitHub上データを表成型)
《1806-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1806h　(翻刻編集データを表成型 - 未実装)
《1806-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1806-0100》,《版元》,出版地○○,出版元□□□,　
《1806-0110》,《暦首》,文化三年ひのえとら乃寛政暦,角宿/値年,凡三百五十四日
《1806-0120》,《大歳》,大さいとらの方,此方ニむかひて万よし/但木をきらす
《1806-0130》,《大將軍》,大しやうくんねの方,たつのとしまて/三年ふさかり
《1806-0140》,《大陰》,大おんねの方,此方ニむかひて/さんをせす
《1806-0150》,《歳徳》,としとくあきの方/みむまの間万よし,ねうしとら/,金神,/うむまひつし
《1806-0160》,《歳刑》,さいけうみの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《1806-0170》,《歳破》,さいはさるの方,むかひてわたましせす/ふねのりはしめす,正月大,二月大,三月小
《1806-0180》,《歳煞》,さいせつうしの方,此方より/よめとらす,四月大,五月小,六月小
《1806-0190》,《黄幡》,わうはんいぬの方,むかひて/弓はしめよし,七月小,八月大,九月小
《1806-0200》,《豹尾》,へうひたつの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月大,十二月小
《1806-0210》,《月序》,正月,大,建,庚寅,參宿値月觜宿火曜値朔日
《1806-0220》,《正月》,一日,つちのとのとり,あやふ,土,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《1806-0230》,《正月》,二日,かのえいぬ,なる,金,　,●
《1806-0240》,《正月》,三日,かのとのい,おさむ,金,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《1806-0250》,《暦日1》,四／,みつのえね,ひらく,木,八せんのはしめ,神よし きしく 天おん 母倉 天火 らうしやく
《1806-0260》,《節中》,雨水正月中今暁とらの四刻日の出より日入まて,昼四十五刻半余/夜五十四刻余,六より六まて,昼五十刻半余/夜四十九刻余
《1806-0270》,《暦日1》,五／,みつのとのうし,とつ,木,ま日,神よし 天おん きこ ちいみ  つめとりよし
《1806-0280》,《暦日2》,六／,きのえとら,たつ,水,　,くゑ日 ふく日
《1806-0290》,《暦日0》,七／,きのとのう,のそく,,　,神よし  ものたちよし
《1806-0300》,《暦日2》,八／,ひのえたつ,みつ,土,ま日,大みやう 月とく
《1806-0310》,《暦日0》,九／,ひのとのみ,たいら,,　,ちう日 めつもん 地火
《1806-0320》,《暦日2》,十／,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
《1806-0330》,《暦日0》,十一／,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまきよし
《1806-0340》,《暦日2》,十二／,かのえさる,やふる,木,　,神よし 大みやう ふく日
《1806-0350》,《暦日0》,十三／,かのとのとり,あやふ,,　,十し
《1806-0360》,《暦日2》,十四／,みつのえいぬ,なる,水,ま日,●
《1806-0370》,《暦日0》,十五／,みつのとのい,おさん,,八せんのおはり,母倉 大くわ ちう日  けんふくよし
《1806-0380》,《暦日2》,十六／,きのえね,ひらく,金,　,天おん 母倉 ふく日 天火 らうしやく
《1806-0390》,《暦日0》,十七／,きのとのうし,とつ,,　,神よし 天おん きこ ちいみ  くらたて 井ほり  つめとりよし
《1806-0400》,《暦日2》,十八／,ひのえとら,たつ,火,　,天おん 月とく  つめとりよし
《1806-0410》,《暦日0》,十九／,ひのとのう,たつ,,　,さい下しき 天おん 天火 らうしやく
《1806-0420》,《節中》,啓蟄二月せつみの一刻ニ入日の出より日入まて,昼四十八刻/夜五十二刻,六より六まて,昼五十三刻/夜四十七刻
《1806-0430》,《暦日2》,廿／,つちのえたつ,のそく,木,　,●
《1806-0440》,《暦日0》,廿一／,つちのとのみ,みつ,,　,十し
《1806-0450》,《暦日2》,廿二／,かのえむま,たいら,土,　,神よし 大くわ 地火
《1806-0460》,《暦日0》,廿三／,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
《1806-0470》,《暦日2》,廿四／,みつのえさる,とる,金,　,神よし 大みやう  入学よし
《1806-0480》,《暦日0》,廿五／,みつのとのとり,やふる,,　,大みやう  やたてよし
《1806-0490》,《暦日2》,廿六／,きのえいぬ,あやふ,火,　,月とく  かといてよし
《1806-0500》,《暦日0》,廿七／,きのとのい,なる,,　,母倉 ちう日 ふく日  みそすつくりよし
