《1817-0000》,# カンマ区切りテキスト形式です。
《1817-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1817-0020》,# ・表の区画内での改行は“/”で表記します。
《1817-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1817-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1817-0050》,# 外部リンク
《1817-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/52 ～ 56
《1817-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1817g　(GitHub上データを表成型)
《1817-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1817h　(翻刻編集データを表成型 - 未実装)
《1817-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1817-0100》,《版元》,出版地○○,出版元□□□,　
《1817-0110》,《暦首》,文化十四年ひのとのうし乃寛政暦,危宿/値年,凡三百五十四日
《1817-0120》,《大歳》,大さいうしの方,此方ニむかひて万よし/但木をきらす
《1817-0130》,《大將軍》,大しやうくんとりの方,うしのとしまて/三年ふさかり
《1817-0140》,《大陰》,大おんいの方,此方ニむかひて/さんをせす
《1817-0150》,《歳徳》,　,としとくあきの方/いねの間万よし,とらう/,金神,/いぬい
《1817-0160》,《歳刑》,さいけういぬの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《1817-0170》,《歳破》,さいはひつしの方,むかひてわたましせす/ふねのりはしめす,正月大,二月小,三月大
《1817-0180》,《歳煞》,さいせつたつの方,此方より/よめとらす,四月大,五月小,六月大
《1817-0190》,《黄幡》,わうはんうしの方,むかひて/弓はしめよし,七月小,八月大,九月小
《1817-0200》,《豹尾》,へうひひつしの方,むかひて大小へんせす/ちくるいもとめす,十月小,十一月大,十二月小
《1817-0210》,《月序》,正月,大,建,壬寅,室宿値月房宿日曜値朔日
《1817-0220》,《正月》,一日,きのとのみ,たいら,火,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《1817-0230》,《正月》,二日,ひのえむま,さたむ,水,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《1817-0240》,《三日》,三日,ひのとのひつし,とる,水,　,神よし
《1817-0250》,《暦日2》,四／,つちのえさる,やふる,土,　,神よし  たねまきよし
《1817-0260》,《暦日0》,五／,つちのとのとり,あやふ,,　,十し
《1817-0270》,《節中》,雨水正月中いぬの四刻日の出より日入まて,昼四十五刻半余/夜五十四刻余,六より六まて,昼五十刻半余/夜四十九刻余
《1817-0280》,《暦日2》,六／,かのえいぬ,なる,金,　,●
《1817-0290》,《暦日0》,七／,かのとのい,おさん,,　,神よし 大みやう 天おん 母倉 月とく 大くわ ちう日
《1817-0300》,《暦日2》,八／,みつのえね,ひらく,木,八せんのはしめ,神よし 天おん 母倉 天火 らうしやく
《1817-0310》,《暦日0》,九／,みつのとのうし,とつ,,ま日,神よし 天おん きこ ちいみ  つめとりよし
《1817-0320》,《暦日2》,十／,きのえとら,たつ,水,　,くゑ日 ふく日
《1817-0330》,《暦日0》,十一／,きのとのう,のそく,,　,神よし  ものたちよし
《1817-0340》,《暦日2》,十二／,ひのえたつ,みつ,土,ま日,大みやう 月とく
《1817-0350》,《暦日0》,十三／,ひのとのみ,たいら,,　,ちう日 めつもん 地火
《1817-0360》,《暦日2》,十四／,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
《1817-0370》,《暦日0》,十五／,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまきよし
《1817-0380》,《暦日2》,十六／,かのえさる,やふる,木,　,神よし 大みやう ふく日
《1817-0390》,《暦日0》,十七／,かのとのとり,あやふ,,　,十し
《1817-0400》,《暦日2》,十八／,みつのえいぬ,なる,水,ま日,●
《1817-0410》,《暦日0》,十九／,みつのとのい,おさん,,八せんのおはり,母倉 大くわ ちう日  けんふくよし
《1817-0420》,《暦日2》,廿／,きのえね,ひらく,金,　,きしく 天おん 母倉 ふく日 天火 らうしやく
