《1822-0000》,# カンマ区切りテキスト形式です。
《1822-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1822-0020》,# ・表の区画内での改行は“/”で表記します。
《1822-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1822-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1822-0050》,# 外部リンク
《1822-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/73 ～ 77
《1822-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1822g　(GitHub上データを表成型)
《1822-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1822h　(翻刻編集データを表成型 - 未実装)
《1822-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1822-0100》,《版元》,出版地○○,出版元□□□,　
《1822-0110》,《暦首》,文政五年みつのえむま乃寛政暦,胃宿/値年,凡三百八十四日
《1822-0120》,《大歳》,大さいむまの方,此方ニむかひて万よし/但木をきらす
《1822-0130》,《大將軍》,大しやうくんうの方,ひつしのとしまて/三年ふさかり
《1822-0140》,《大陰》,大おんたつの方,此方ニむかひて/さんをせす
《1822-0150》,《歳徳》,　,としとくあきの方/いねの間万よし,とらう/,金神,/いぬい
《1822-0160》,《歳刑》,さいけうむまの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《1822-0170》,《歳破》,さいはねの方,むかひてわたましせす/ふねのりはしめす,正月大/閏正月小,二月大,三月小
《1822-0180》,《歳煞》,さいせつうしの方,此方より/よめとらす,四月小,五月小,六月大
《1822-0190》,《黄幡》,わうはんいぬの方,むかひて/弓はしめよし,七月小,八月大,九月大
《1822-0200》,《豹尾》,へうひたつの方,むかひて大小へんせす/ちくるいもとめす,十月小,十一月大,十二月大
《1822-0210》,《月序》,正月,大,建,壬寅,胃宿値月壁宿水曜値朔日
《1822-0220》,《正月》,一日,ひのとのひつし,やふる,水,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《1822-0230》,《正月》,二日,つちのえさる,あやふ,土,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《1822-0240》,《三日》,三日,つちのとのとり,なる,土,　,●
《1822-0250》,《暦日2》,四／,かのえいぬ,おさん,金,　,大みやう 天おん 月とく めつもん  たねまきよし
《1822-0260》,《暦日0》,五／,かのとのい,ひらく,,　,大みやう 天おん ちう日
《1822-0270》,《暦日2》,六／,みつのえね,とつ,木,八せんのはしめ,くゑ日 きこ ちいみ
《1822-0280》,《暦日0》,七／,みつのとのうし,たつ,,ま日,十し
《1822-0290》,《暦日2》,八／,きのえとら,のそく,水,　, 木こり  つめとりよし
《1822-0300》,《暦日0》,九／,きのとのう,みつ,,　,神よし 月とく  ものたちよし
《1822-0310》,《暦日2》,十／,ひのえたつ,たいら,土,ま日,きしく 大みやう 大くわ 地火
《1822-0320》,《暦日0》,十一／,ひのとのみ,さたん,,　,母倉 ちう日
《1822-0330》,《暦日2》,十二／,つちのえむま,とる,火,ま日,神よし 母倉 ふく日  ふねのりよし
《1822-0340》,《暦日0》,十三／,つちのとのひつし,やふる,,せつふん,大みやう ふく日 わうまう  かといてよし
《1822-0350》,《暦日1》,十四／,かのえさる,やふる,木,　,神よし 大みやう ふく日
《1822-0360》,《節中》,立春正月せついぬの三刻ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
《1822-0370》,《暦日1》,十五／,かのとのとり,あやふ,木,　,十し
《1822-0380》,《暦日2》,十六／,みつのえいぬ,なる,水,ま日,●
《1822-0390》,《暦日0》,十七／,みつのとのい,おさん,,八せんのおはり,母倉 大くわ ちう日  けんふくよし
《1822-0400》,《暦日2》,十八／,きのえね,ひらく,金,　,天おん 母倉 ふく日 天火 らうしやく
《1822-0410》,《暦日0》,十九／,きのとのうし,とつ,,　,神よし 天おん きこ ちいみ  くらたて 井ほり  つめとりよし
《1822-0420》,《暦日2》,廿／,ひのえとら,たつ,火,　,天おん 月とく わうまう  つめとりよし
