《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/108 ～ 112
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1830g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1830h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0110》,《暦首》,文政十三年かのえとら乃寛政暦,星宿/値年,凡三百八十四日
《0120》,《大歳》,大さいとらの方,此方ニむかひて万よし/但木をきらす
《0130》,《大將軍》,大しやうくんねの方,たつのとしまて/三年ふさかり
《0140》,《大陰》,大おんねの方,此方ニむかひて/さんをせす
《0150》,《歳徳》,　,としとくあきの方/さるとりの間万よし,たつ/,金神,/み
《0160》,《歳刑》,さいけうみの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《0170》,《歳破》,さいはさるの方,むかひてわたましせす/ふねのりはしめす,正月小,二月小,三月大/閏三月小
《0180》,《歳煞》,さいせつうしの方,此方より/よめとらす,四月大,五月小,六月小
《0190》,《黄幡》,わうはんいぬの方,むかひて/弓はしめよし,七月大,八月大,九月小
《0200》,《豹尾》,へうひたつの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月大,十二月大
《0210》,《月序》,正月,小,建,戊寅,角宿値月張宿月曜値朔日
《0220》,《正月》,一日,かのとのう,みつ,木,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《0230》,《正月》,二日,みつのえたつ,たいら,水,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《0240》,《三日》,三日,みつのとのみ,さたむ,水,天一天上,母倉 ちう日
《0250》,《暦日2》,四／,きのえむま,とる,金,　,神よし 母倉  けんふく ふねのりよし
《0260》,《暦日0》,五／,きのとのひつし,やふる,,　,大みやう 月とく 五む日
《0270》,《暦日2》,六／,ひのえさる,あやふ,火,　,神よし 母倉  木こりよし
《0280》,《暦日0》,七／,ひのとのとり,なる,,　,●
《0290》,《暦日2》,八／,つちのえいぬ,おさん,木,　,ふく日 めつもん
《0300》,《暦日0》,九／,つちのとのい,ひらく,,　,ちう日 ふく日
《0310》,《暦日2》,十／,かのえね,とつ,土,　,神よし 月とく きこ ちいみ
《0320》,《暦日0》,十一／,かのとのうし,たつ,,せつふん,十し
《0330》,《暦日1》,十二／,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
《0340》,《節中》,立春正月せつとりの五刻ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
《0350》,《暦日1》,十三／,みつのとのう,のそく,金,　,神よし  あさまきよし
《0360》,《暦日2》,十四／,きのえたつ,みつ,火,　,大みやう ふく日  かといてよし
《0370》,《暦日0》,十五／,きのとのみ,たいら,,　,神よし 大みやう ちう日 めつもん 地火  けんふくよし
《0380》,《暦日2》,十六／,ひのえむま,さたん,水,　,神よし 大みやう 月とく  わたましよし
《0390》,《暦日0》,十七／,ひのとのひつし,とる,,　,神よし  かといてよし
《0400》,《暦日2》,十八／,つちのえさる,やふる,土,　,わうまう  たねまきよし
《0410》,《暦日0》,十九／,つちのとのとり,あやふ,,　,十し
《0420》,《暦日2》,廿／,かのえいぬ,なる,金,　,●
《0430》,《暦日0》,廿一／,かのとのい,おさん,,　,神よし 大みやう 天おん 母倉 月とく 大くわ ちう日
《0440》,《暦日2》,廿二／,みつのえね,ひらく,木,八せんのはしめ,神よし 天おん 母倉 天火 らうしやく
《0450》,《暦日0》,廿三／,みつのとのうし,とつ,,ま日,神よし 天おん きこ ちいみ  つめとりよし
《0460》,《暦日2》,廿四／,きのえとら,たつ,水,　,くゑ日 ふく日
《0470》,《暦日0》,廿五／,きのとのう,のそく,,　,神よし  ものたちよし
《0480》,《暦日2》,廿六／,ひのえたつ,みつ,土,ま日,きしく 大みやう 月とく
《0490》,《暦日0》,廿七／,ひのとのみ,たいら,,　,ちう日 めつもん 地火
《0500》,《節中》,雨水正月中今夜ねの二刻日の出より日入まて,昼四十五刻半余/夜五十四刻余,六より六まて,昼五十刻半余/夜四十九刻余
《0510》,《暦日2》,廿八／,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
《0520》,《暦日0》,廿九／,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまきよし
《0530》,《月序》,二月,小,建,己卯,亢宿　翼　火よう
《0540》,《暦日2》,一／,かのえさる,やふる,木,　,神よし 大みやう ふく日
《0550》,《暦日0》,二／,かのとのとり,あやふ,,　,十し
《0560》,《暦日2》,三／,みつのえいぬ,なる,水,ま日,●
《0570》,《暦日0》,四／,みつのとのい,おさん,,八せんのおはり,母倉 大くわ ちう日  けんふくよし
《0580》,《暦日2》,五／,きのえね,ひらく,金,　,天おん 母倉 ふく日 天火 らうしやく
《0590》,《暦日0》,六／,きのとのうし,とつ,,　,神よし 天おん きこ ちいみ  くらたて 井ほり  つめとりよし
《0600》,《暦日2》,七／,ひのえとら,たつ,火,　,天おん 月とく  つめとりよし
《0610》,《暦日0》,八／,ひのとのう,のそく,,　,さい下しき 神よし 天おん  あさまきよし
《0620》,《暦日2》,九／,つちのえたつ,みつ,木,　,天おん 五む日  みそつくりよし
《0630》,《暦日0》,十／,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
《0640》,《暦日2》,十一／,かのえむま,さたん,土,　,神よし ふく日
《0650》,《暦日0》,十二／,かのとのひつし,とる,,　,大みやう 月とく  いちたちよし
《0660》,《暦日2》,十三／,みつのえさる,やふる,金,　,神よし 大みやう
《0670》,《暦日0》,十四／,みつのとのとり,やふる,,　,大みやう  やたてよし
《0680》,《節中》,啓蟄二月せつ今暁とらの七刻ニ入日の出より日入まて,昼四十八刻/夜五十二刻,六より六まて,昼五十三刻/夜四十七刻
《0690》,《暦日1》,十五／,きのえいぬ,あやふ,火,　,月とく
《0700》,《食記》,月そく皆既
《0710》,《暦日1》,十六／,きのとのい,なる,火,　,母倉 ちう日 ふく日  みそすつくりよし
《0720》,《暦日2》,十七／,ひのえね,おさん,水,　,母倉 めつもん  たねかしよし
《0730》,《暦日0》,十八／,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
《0740》,《暦日2》,十九／,つちのえとら,とつ,土,　,天しや よろつよし
《0750》,《暦日0》,廿／,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
《0760》,《暦日2》,廿一／,かのえたつ,のそく,金,　,●
《0770》,《暦日0》,廿二／,かのとのみ,みつ,,　,十し
《0780》,《暦日2》,廿三／,みつのえむま,たいら,木,　,神よし 大みやう 天おん 大くわ 地火
《0790》,《暦日0》,廿四／,みつのとのひつし,さたん,,ひかんニなる,天おん ちいみ
《0800》,《暦日2》,廿五／,きのえさる,とる,水,十方くれニ入,神よし きしく 大みやう 月とく  入学よし
《0810》,《暦日0》,廿六／,きのとのとり,やふる,,　,ふく日
《0820》,《暦日2》,廿七／,ひのえいぬ,あやふ,土,　,五む日 わうまう  あさまきよし
《0830》,《暦日0》,廿八／,ひのとのい,なる,,　,大みやう 母倉 ちう日
《0840》,《暦日1》,廿九／,つちのえね,おさん,火,社日,母倉 めつもん  けんふく たねかしよし
