《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/190 ～ 194
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1849g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1849h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0110》,《暦首》,嘉永二年つちのとのとり乃天保壬寅元暦,婁宿/値年,凡三百八十四日
《0120》,《大歳》,大さいとりの方,此方ニむかひて万よし/但木をきらす
《0130》,《大將軍》,大しやうくんむまの方,いぬのとしまて/三年ふさかり
《0140》,《大陰》,大おんひつしの方,此方ニむかひて/さんをせす
《0150》,《歳徳》,　,としとくあきの方/とらうの間万よし,むまひつし/,金神,/さるとり
《0160》,《歳刑》,さいけうとりの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《0170》,《歳破》,さいはうの方,むかひてわたましせす/ふねのりはしめす,正月大,二月小,三月大
《0180》,《歳煞》,さいせつたつの方,此方より/よめとらす,四月小/閏四月小,五月大,六月小
《0190》,《黄幡》,わうはんうしの方,むかひて/弓はしめよし,七月大,八月小,九月大
《0200》,《豹尾》,へうひひつしの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月小,十二月大
《0210》,《月序》,正月,大,建,丙寅,心宿値月參宿水曜値朔日
《0220》,《正月》,一日,かのえむま,とる,土,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《0230》,《正月》,二日,かのとのひつし,やふる,土,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《0240》,《三日》,三日,みつのえさる,あやふ,金,　,神よし きしく 大みやう日
《0250》,《暦日1》,四／,みつのとのとり,なる,金,　,●
《0260》,《暦日2》,五／,きのえいぬ,おさん,火,　,めつもん  わたましよし
《0270》,《暦日0》,六／,きのとのい,ひらく,,　,月とく ちう日  いちたちよし
《0280》,《暦日2》,七／,ひのえね,とつ,水,　,きこ ちいみ
《0290》,《暦日0》,八／,ひのとのうし,たつ,,　,十し
《0300》,《暦日2》,九／,つちのえとら,のそく,土,　,ふく日  木こり  つめとりよし
《0310》,《暦日0》,十／,つちのとのう,みつ,,　,神よし 大みやう 天おん ふく日
《0320》,《暦日2》,十一／,かのえたつ,たいら,金,せつふん,天おん 月とく 大くわ 地火 わうまう  よめとりよし
《0330》,《暦日0》,十二／,かのとのみ,たいら,,　,天おん 母倉 月とく ちう日 めつもん 地火
《0340》,《節中》,立春正月せつ今暁七時八分ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
《0350》,《暦日2》,十三／,みつのえむま,さたん,木,　,神よし 大みやう 天おん  木こりよし
《0360》,《暦日0》,十四／,みつのとのひつし,とる,,　,天おん  たねまきよし
《0370》,《暦日2》,十五／,きのえさる,やふる,水,十方くれニ入,神よし 大みやう ふく日
《0380》,《暦日0》,十六／,きのとのとり,あやふ,,　,十し
《0390》,《暦日2》,十七／,ひのえいぬ,なる,土,　,●
《0400》,《暦日0》,十八／,ひのとのい,おさん,,　,大みやう 母倉 大くわ ちう日 わうまう
