《1856-0000》,# カンマ区切りテキスト形式です。
《1856-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1856-0020》,# ・表の区画内での改行は“/”で表記します。
《1856-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1856-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1856-0050》,# 外部リンク
《1856-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546787/29 ～ 37
《1856-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1856g　(GitHub上データを表成型)
《1856-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1856h　(翻刻編集データを表成型 - 未実装)
《1856-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1856-0100》,《版元》,出版地○○,出版元□□□,　
《1856-0110》,《暦首》,安政三年ひのえたつ乃天保壬寅元暦,鬼宿/値年,凡三百五十五日
《1856-0120》,《大歳》,大さいたつの方,此方ニむかひて万よし/但木をきらす
《1856-0130》,《大將軍》,大しやうくんねの方,たつのとしまて/三年ふさかり
《1856-0140》,《大陰》,大おんとらの方,此方ニむかひて/さんをせす
《1856-0150》,《歳徳》,　,としとくあきの方/みむまの間万よし,ねうしとら/,金神,/うむまひつし
《1856-0160》,《歳刑》,さいけうたつの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《1856-0170》,《歳破》,さいはいぬの方,むかひてわたましせす/ふねのりはしめす,正月大,二月小,三月小
《1856-0180》,《歳煞》,さいせつひつしの方,此方より/よめとらす,四月大,五月小,六月大
《1856-0190》,《黄幡》,わうはんたつの方,むかひて/弓はしめよし,七月小,八月大,九月大
《1856-0200》,《豹尾》,へうひいぬの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月小,十二月大
《1856-0210》,《月序》,正月,大,建,庚寅,心宿値月壁宿水曜値朔日
《1856-0220》,《正月》,一日,つちのとのひつし,とる,火,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《1856-0230》,《正月》,二日,かのえさる,やふる,木,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《1856-0240》,《三日》,三日,かのとのとり,あやふ,木,　,十し
《1856-0250》,《暦日2》,四／,みつのえいぬ,なる,水,ま日,●
《1856-0260》,《暦日0》,五／,みつのとのい,おさん,,八せんのおはり,母倉 大くわ ちう日 わうまう  けんふくよし
《1856-0270》,《暦日2》,六／,きのえね,ひらく,金,　,天おん 母倉 ふく日 天火 らうしやく
《1856-0280》,《暦日0》,七／,きのとのうし,とつ,,　,神よし 天おん きこ ちいみ  くらたて 井ほり  つめとりよし
《1856-0290》,《暦日2》,八／,ひのえとら,たつ,火,　,天おん 月とく  つめとりよし
《1856-0300》,《暦日0》,九／,ひのとのう,のそく,,　,神よし 天おん  あさまきよし
《1856-0310》,《暦日2》,十／,つちのえたつ,みつ,木,　,きしく 天おん 五む日  みそつくりよし
《1856-0320》,《暦日0》,十一／,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
《1856-0330》,《暦日2》,十二／,かのえむま,さたん,土,　,神よし ふく日
《1856-0340》,《暦日0》,十三／,かのとのひつし,とる,,　,大みやう 月とく  いちたちよし
《1856-0350》,《暦日1》,十四／,みつのえさる,やふる,金,　,神よし 大みやう
《1856-0360》,《節中》,雨水正月中暮六時四分日の出より日入まて,昼四十五刻半/夜五十四刻半,六より六まて,昼五十刻半/夜四十九刻半
《1856-0370》,《暦日1》,十五／,みつのとのとり,あやふ,金,　,十し
《1856-0380》,《暦日2》,十六／,きのえいぬ,なる,火,　,●
《1856-0390》,《暦日0》,十七／,きのとのい,おさん,,　,母倉 大くわ ちう日
《1856-0400》,《暦日2》,十八／,ひのえね,ひらく,水,　,母倉 月とく 天火 らうしやく
《1856-0410》,《暦日0》,十九／,ひのとのうし,とつ,,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
《1856-0420》,《暦日2》,廿／,つちのえとら,たつ,土,　,天しや よろつよし
《1856-0430》,《暦日0》,廿一／,つちのとのう,のそく,,　,神よし 大みやう 天おん  みそさけつくり たねまきよし
《1856-0440》,《暦日2》,廿二／,かのえたつ,みつ,金,　,天おん ふく日
《1856-0450》,《暦日0》,廿三／,かのとのみ,たいら,,　,天おん 母倉 月とく ちう日 めつもん 地火
《1856-0460》,《暦日2》,廿四／,みつのえむま,さたん,木,　,神よし 大みやう 天おん  木こりよし
《1856-0470》,《暦日0》,廿五／,みつのとのひつし,とる,,　,天おん  たねまきよし
《1856-0480》,《暦日2》,廿六／,きのえさる,やふる,水,十方くれニ入,神よし 大みやう ふく日
《1856-0490》,《暦日0》,廿七／,きのとのとり,あやふ,,　,十し
《1856-0500》,《暦日2》,廿八／,ひのえいぬ,なる,土,　,●
《1856-0510》,《暦日0》,廿九／,ひのとのい,なる,,　,大みやう 母倉 ちう日
《1856-0520》,《節中》,啓蟄二月せつ夕七時五分ニ入日の出より日入まて,昼四十七刻半余/夜五十二刻余,六より六まて,昼五十二刻半余/夜四十七刻余
《1856-0530》,《暦日1》,卅／,つちのえね,おさん,火,　,母倉 めつもん  けんふく たねかしよし
《1856-0540》,《月序》,二月,小,建,辛卯,尾宿　婁　金よう
《1856-0550》,《暦日1》,一／,つちのとのうし,ひらく,火,　,月とく  井ほり  つめとりよし
《1856-0560》,《暦日2》,二／,かのえとら,とつ,木,　,きこ  つめとりよし
《1856-0570》,《暦日0》,三／,かのとのう,たつ,,　,ふく日 天火 らうしやく
《1856-0580》,《暦日2》,四／,みつのえたつ,のそく,水,　,●
《1856-0590》,《暦日0》,五／,みつのとのみ,みつ,,天一天上,十し
《1856-0600》,《暦日2》,六／,きのえむま,たいら,金,　,神よし 月とく 大くわ 地火
《1856-0610》,《暦日0》,七／,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
《1856-0620》,《暦日2》,八／,ひのえさる,とる,火,　,神よし きしく
《1856-0630》,《暦日0》,九／,ひのとのとり,やふる,,　, あさまき たねかしよし
《1856-0640》,《暦日2》,十／,つちのえいぬ,あやふ,木,社日, かといてよし
《1856-0650》,《暦日0》,十一／,つちのとのい,なる,,ひかんニなる,神よし 母倉 月とく ちう日  みそすつくりよし
《1856-0660》,《暦日2》,十二／,かのえね,おさん,土,　,母倉 めつもん わうまう  よめとり たねかしよし
《1856-0670》,《暦日0》,十三／,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
《1856-0680》,《暦日1》,十四／,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
《1856-0690》,《節中》,春分二月中暮六時一分日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《1856-0700》,《暦日1》,十五／,みつのとのう,たつ,金,　,天火 らうしやく
《1856-0710》,《暦日2》,十六／,きのえたつ,のそく,火,　,●
《1856-0720》,《暦日0》,十七／,きのとのみ,みつ,,　,十し
《1856-0730》,《暦日2》,十八／,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
《1856-0740》,《暦日0》,十九／,ひのとのひつし,さたん,,　,神よし ちいみ
《1856-0750》,《暦日2》,廿／,つちのえさる,とる,土,　,神よし  たねまきよし
《1856-0760》,《暦日0》,廿一／,つちのとのとり,やふる,,　,大みやう 天おん 月とく
《1856-0770》,《暦日2》,廿二／,かのえいぬ,あやふ,金,　,大みやう 天おん  けんふくよし
《1856-0780》,《暦日0》,廿三／,かのとのい,なる,,　,神よし 大みやう 天おん 母倉 ちう日 ふく日
《1856-0790》,《暦日2》,廿四／,みつのえね,おさん,木,八せんのはしめ,神よし 天おん 母倉 めつもん  あさまきよし
《1856-0800》,《暦日0》,廿五／,みつのとのうし,ひらく,,ま日,天おん  つめとりよし
《1856-0810》,《暦日2》,廿六／,きのえとら,とつ,水,　,月とく きこ  やたて  つめとりよし
《1856-0820》,《暦日0》,廿七／,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
《1856-0830》,《暦日2》,廿八／,ひのえたつ,のそく,土,ま日,●
《1856-0840》,《暦日0》,廿九／,ひのとのみ,のそく,,　,さい下しき 母倉 月とく ちう日  いちたちよし
《1856-0850》,《節中》,清明三月せつ夜四時五分ニ入日の出より日入まて,昼五十二刻余/夜四十七刻半余,六より六まて,昼五十七刻半/夜四十二刻半
《1856-0860》,《月序》,三月,小,建,壬辰,箕宿　胃　土よう
《1856-0870》,《暦日2》,一／,つちのえむま,みつ,火,ま日,神よし 母倉 ふく日 天火 らうしやく  ふねのりよし
《1856-0880》,《暦日0》,二／,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1856-0890》,《暦日2》,三／,かのえさる,さたん,木,　,大みやう くゑ日
《1856-0900》,《暦日0》,四／,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
《1856-0910》,《暦日2》,五／,みつのえいぬ,やふる,水,ま日,月とく
《1856-0920》,《暦日0》,六／,みつのとのい,あやふ,,八せんのおはり,●
《1856-0930》,《暦日2》,七／,きのえね,なる,金,　,きしく くゑ日 きこ
《1856-0940》,《暦日0》,八／,きのとのうし,おさん,,　,十し
《1856-0950》,《暦日2》,九／,ひのえとら,ひらく,火,　,くゑ日 ちいみ
《1856-0960》,《暦日0》,十／,ひのとのう,とつ,,　,くゑ日  たねまきよし
《1856-0970》,《暦日2》,十一／,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
《1856-0980》,《暦日0》,十二／,つちのとのみ,のそく,,　,神よし 母倉 ちう日 ふく日  かといてよし
《1856-0990》,《暦日2》,十三／,かのえむま,みつ,土,とよう今暁八時六分ニ入,神よし 母倉 天火 らうしやく  みそすつくりよし
《1856-1000》,《暦日0》,十四／,かのとのひつし,たいら,,　,大みやう めつもん 地火
《1856-1010》,《暦日2》,十五／,みつのえさる,さたん,金,　,大みやう くゑ日
《1856-1020》,《暦日0》,十六／,みつのとのとり,とる,,　,大みやう
《1856-1030》,《節中》,穀雨三月中明六時九分日の出より日入まて,昼五十四刻半/夜四十五刻半,六より六まて,昼五十九刻半余/夜四十刻余
《1856-1040》,《食記》,月帯そく
《1856-1050》,《暦日2》,十七／,きのえいぬ,やふる,火,　, くさかりよし
《1856-1060》,《暦日0》,十八／,きのとのい,あやふ,,　,●
《1856-1070》,《暦日2》,十九／,ひのえね,なる,水,　,きこ
